Indicator type,Indicator,Description
IPv4,218.92.0.153,
IPv4,218.92.0.230,
IPv4,218.92.0.153,
IPv4,122.114.173.209,
IPv4,218.92.0.153,
IPv4,218.92.0.153,
IPv4,41.82.208.182,
IPv4,218.92.0.230,
IPv4,193.32.162.73,
IPv4,202.102.198.61,
IPv4,196.204.240.61,
IPv4,121.201.125.75,
IPv4,193.32.162.73,
IPv4,195.178.110.76,
IPv4,193.32.162.73,
IPv4,193.32.162.73,
IPv4,193.32.162.73,
IPv4,31.214.175.213,
IPv4,187.34.212.38,
IPv4,118.193.77.186,
IPv4,69.49.231.133,
IPv4,186.96.145.241,
IPv4,186.96.145.241,
IPv4,197.199.224.52,
IPv4,186.96.145.241,
IPv4,80.251.155.230,
IPv4,186.96.145.241,
IPv4,186.96.145.241,
IPv4,186.96.145.241,
IPv4,72.167.227.34,
IPv4,107.175.33.240,
IPv4,186.96.145.241,
IPv4,36.99.44.86,
IPv4,159.223.15.39,
IPv4,80.64.30.226,
IPv4,80.64.30.226,
IPv4,218.92.0.216,
IPv4,218.92.0.223,
IPv4,218.92.0.236,
IPv4,136.232.11.10,
IPv4,190.189.123.243,
IPv4,218.92.0.233,
IPv4,143.198.105.73,
IPv4,161.97.117.102,
IPv4,161.97.117.102,
IPv4,159.223.12.201,
IPv4,186.248.197.77,
IPv4,161.97.117.102,
IPv4,161.97.117.102,
IPv4,161.97.117.102,
IPv4,161.97.117.102,
IPv4,195.178.110.210,
IPv4,60.165.119.59,
IPv4,218.92.0.198,
IPv4,139.59.153.150,
IPv4,218.92.0.223,
IPv4,85.18.236.229,
IPv4,218.92.0.235,
IPv4,138.197.143.6,
IPv4,35.237.94.18,
IPv4,59.3.76.218,
IPv4,125.124.167.89,
IPv4,144.126.207.244,
IPv4,159.223.12.201,
IPv4,79.106.102.70,
IPv4,198.199.71.30,
IPv4,85.245.107.230,
IPv4,218.92.0.228,
IPv4,36.91.81.195,
IPv4,185.255.90.145,
IPv4,218.92.0.230,
IPv4,218.92.0.230,
IPv4,218.92.0.134,
IPv4,218.92.0.223,
IPv4,218.92.0.134,
IPv4,218.92.0.222,
IPv4,103.144.2.227,
IPv4,218.92.0.220,
IPv4,37.58.22.182,
IPv4,218.92.0.134,
IPv4,218.92.0.134,
IPv4,218.92.0.134,
IPv4,218.92.0.235,
IPv4,172.101.35.31,
IPv4,218.92.0.134,
IPv4,143.198.96.226,
IPv4,101.126.78.108,
IPv4,218.92.0.134,
IPv4,8.140.226.203,
IPv4,64.23.186.40,
IPv4,8.140.226.203,
IPv4,218.92.0.134,
IPv4,212.227.6.75,
IPv4,185.255.91.157,
IPv4,218.92.0.237,
IPv4,218.92.0.227,
IPv4,218.92.0.232,
IPv4,218.92.0.112,
IPv4,218.92.0.223,
IPv4,218.92.0.236,
IPv4,218.92.0.236,
IPv4,38.210.209.225,
IPv4,162.243.142.203,
IPv4,196.251.84.225,
IPv4,68.183.10.86,
IPv4,218.92.0.225,
IPv4,203.106.164.74,
IPv4,51.222.159.224,
IPv4,45.132.235.168,
IPv4,80.94.95.112,
IPv4,183.162.210.166,
IPv4,186.248.197.77,
IPv4,85.208.253.189,
IPv4,109.207.78.237,
IPv4,197.248.8.33,
IPv4,43.155.21.198,
IPv4,103.179.191.162,
IPv4,80.94.95.112,
IPv4,218.92.0.112,
IPv4,218.92.0.233,
IPv4,218.92.0.226,
IPv4,218.92.0.228,
IPv4,80.94.95.112,
IPv4,178.27.90.142,
IPv4,221.221.139.174,
IPv4,218.92.0.237,
IPv4,62.240.176.22,
IPv4,121.52.147.5,
IPv4,142.93.116.14,
IPv4,188.245.251.203,
IPv4,182.253.156.184,
IPv4,36.92.107.106,
IPv4,60.188.59.200,
IPv4,113.250.201.8,
IPv4,218.92.0.143,
IPv4,34.96.188.41,
IPv4,97.74.83.185,
IPv4,138.68.102.164,
IPv4,115.190.100.46,
IPv4,143.110.252.26,
IPv4,180.101.21.207,
IPv4,101.36.122.196,
IPv4,201.249.205.94,
IPv4,152.32.215.161,
IPv4,114.34.106.146,
IPv4,218.92.0.218,
IPv4,221.229.220.180,
IPv4,80.94.95.112,
IPv4,68.178.163.89,
IPv4,80.94.95.112,
IPv4,184.168.121.83,
IPv4,218.92.0.237,
IPv4,125.124.234.151,
IPv4,92.118.39.75,
IPv4,161.18.228.75,
IPv4,218.92.0.228,
IPv4,80.94.95.112,
IPv4,60.251.120.199,
IPv4,218.92.0.111,
IPv4,218.92.0.198,
IPv4,218.92.0.231,
IPv4,218.92.0.221,
IPv4,218.92.0.225,
IPv4,92.118.39.86,
IPv4,92.118.39.86,
IPv4,92.118.39.86,
IPv4,186.13.43.41,
IPv4,139.59.188.13,
IPv4,79.3.96.178,
IPv4,125.91.34.106,
IPv4,218.92.0.134,
IPv4,222.186.43.93,
IPv4,27.254.235.3,
IPv4,76.119.107.241,
IPv4,188.166.105.120,
IPv4,64.23.131.62,
IPv4,218.92.0.216,
IPv4,218.92.0.134,
IPv4,37.189.196.88,
IPv4,154.83.15.200,
IPv4,104.248.171.19,
IPv4,218.92.0.226,
IPv4,92.118.39.76,
IPv4,118.193.47.50,
IPv4,218.92.0.229,
IPv4,92.118.39.76,
IPv4,77.109.32.245,
IPv4,172.101.35.31,
IPv4,189.251.51.200,
IPv4,218.92.0.227,
IPv4,64.23.213.230,
IPv4,14.29.64.91,
IPv4,123.133.112.118,
IPv4,43.226.39.239,
IPv4,23.251.33.5,
IPv4,109.91.230.1,
IPv4,157.66.144.15,
IPv4,218.92.0.153,
IPv4,14.103.127.30,
IPv4,134.209.120.69,
IPv4,218.92.0.153,
IPv4,104.248.3.129,
IPv4,212.29.201.69,
IPv4,218.92.0.153,
IPv4,218.92.0.219,
