Indicator type,Indicator,Description
domain,23bik2323.com,
domain,24rq2pvihkrct6pxl6zy3p36gt2wd6sn6izoz7ntlivxvbuu5ei3xwad.onion,
domain,25985-coinbase.com,
domain,2610asdkj.online,
domain,2610asdkj.site,
domain,2610asdkj.top,
domain,2610asdkj.xyz,
domain,2610kjhsda.online,
domain,2610kjhsda.site,
domain,2610kjhsda.top,
domain,2610kjhsda.xyz,
domain,2703yandex.ru,
domain,27488877.com,
domain,27699-coinbase.com,
domain,28367-coinbase.com,
domain,2854-coinbase.com,
domain,28676-coinbase.com,
domain,29071.com,
domain,29185-coinbase.com,
domain,29195-coinbase.com,
domain,294anacamptometer.sbs,
domain,294unmendaciously.sbs,
domain,2a-coinbase.com,
domain,2b-coinbase.com,
domain,2bonmai.buzz,
domain,2c-coinbase.com,
domain,2f-coinbase.com,
domain,2fas-coinbase.com,
domain,2fexample.us,
domain,2fgithub.com,
domain,2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion,
domain,2ir841s4y.top,
domain,2istanbullu2586.xyz,
domain,2k3o.top,
domain,2moniunesson.com,
domain,2o-coinbase.com,
domain,2r-coinbase.com,
domain,2s-coinbase.com,
domain,2sv-coinbase.com,
domain,2x26ucbyaq.parody,
domain,2xo0uaqv4cqds331mart.online,
domain,3-apps-chain.network,
domain,3-chains-apps.network,
domain,3010cars.online,
domain,3010cars.site,
domain,3010cars.top,
domain,3010cars.xyz,
domain,3010offers.online,
domain,3010offers.site,
domain,3010offers.top,
domain,3010offers.xyz,
domain,303baidu.com,
domain,306baidu.com,
domain,307baidu.com,
domain,30secondstomars-tickets.ru,
domain,30secondstomars-tour.com,
domain,31yc.com,
domain,3231baidu.com,
domain,3237.site,
domain,33115c.com,
domain,343-ads-info.top,
domain,347nsm239mws934.top,
domain,3480003.com,
domain,3480458.com,
domain,3480535.com,
domain,3480545.com,
domain,3488010.com,
domain,3488021.com,
domain,3488801.com,
domain,3488823.com,
domain,3488883.com,
domain,3489931.com,
domain,352134951-coinbase.com,
domain,360billingservices.com,
domain,360mediashare.com,
domain,360yandex.ru,
domain,364klhjsfsl.top,
domain,377baidu.com,
domain,37sspmqkbb6xc.com,
domain,38468-coinbase.com,
domain,393baidu.com,
domain,39590-coinbase.com,
domain,3alphabetjay.com,
domain,3crj2ylhdffpf2yik4bb2hn32xey2bdhcpykxfezb4sq53eelglp3sqd.onion,
domain,3dauth.live,
